Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8
2.722678944531276,-2.70745398000134,1.4024094040992987,-1.7729321642908251,0.2575129242658491,2.011706118911072,-0.416083052941477,-1.0396587060055582
2.60376406910791,-2.1329267788790918,1.2602551871441616,-2.045021300219871,-0.057508488381581555,1.9144536644934371,-0.6868577374764878,-0.9977676553906168
2.588416592541147,-1.9249881514528588,0.4843660485588046,-2.363036759861257,-0.36132211947755916,1.8399091668254586,-0.42054241777338364,-0.9802342935519296
2.7798297108872476,-2.7136298678370814,0.21510358838063365,-1.9967247867883595,0.09563569307902549,2.136665696660197,1.4962551494040814,-1.0386221171008205
2.4310592443210073,-0.9489877349933673,-0.9847896058535158,-2.501776841219214,-0.6195382071321999,1.7326490795182725,-0.02825235237234009,-0.8559405460129252
2.3959246765928994,-0.7173840414470014,-1.4503585657446554,-2.643517350418256,-0.8086281261534997,1.5812885520791544,-0.7330223008285354,-0.8199589019497354
2.4281894856913406,-0.7668893417847725,-1.8947911405073266,-2.0234504353964486,-0.1958000381136434,1.6368206320157572,-0.9367215237508368,-0.8636076136856685
2.836497659962092,-2.3914289910504474,-2.7936561732613288,-0.8542980534127091,1.0762302237796622,2.1951854815116927,2.3654207137623335,-0.9411728603266214
2.755964326175706,-2.1140719770797465,-2.20150305017914,-0.8897384175749679,0.9023537387476266,1.9209993251248687,-0.5833430368066662,-1.044111350029357
1.9887387364568732,0.7550655722203147,1.4632977997343946,-1.7879790482096634,0.05524683792871602,2.010296790314617,-0.6510604181501335,-0.9924805085078218
1.9211191339828466,1.2970970746278931,0.22205458703787387,-2.119391062934914,-0.3503250865293996,1.881797051686793,-0.4282238825875139,-0.8972454946067551
1.9212839768155083,1.4173668907659442,-0.5460289966218225,-1.9218090434837434,-0.1693808231323535,1.8034141527727483,-0.8797156573664017,-0.8994464111843508
2.031334489785824,1.110273635468779,-1.6580579787906196,-1.6579705998982657,0.12787087915234302,1.889138059620067,0.09866383039520313,-0.8949408148342342
1.1982488170837295,4.7151948343264865,0.3071912480746757,-2.0948525666349727,-0.33934395499674613,2.039814701849405,0.42925746278562293,-0.8262222548436021
1.2251132294047085,4.709720945306708,-0.3592401235234312,-1.6969481859361584,0.04756191930555896,1.990309159769881,-0.027796346076036916,-0.8167432133231471
1.2504356669188883,4.772549655249082,-1.4138880876404913,-1.4407426446190297,0.24561487779868724,1.837289881599473,-0.9608553549807548,-0.7999959889850748
1.3918189222934239,4.374742079023069,-2.6751273496202854,-0.8519720108417258,0.7950981725502948,1.8250504685090594,-1.1217655884404023,-0.8243116937870515
-2.2576441803510434,-3.8269215467879527,1.4463839806962129,0.5656086308820921,-1.5059161145858901,0.10972059824752388,-0.09764956449626203,-0.24678457579421612
-2.3765590557744094,-3.252394345665704,1.3042297637410756,0.29351949495304536,-1.8209375272333206,0.012468143829889013,-0.36842424903127313,-0.20489352517927456
-2.3919065323411726,-3.0444557182394716,0.5283406251557187,-0.02449596468834047,-2.124751158329298,-0.062076353838088585,-0.10210892932816898,-0.18736016334058717
