Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9
2.780471885917842,-1.9575656406482578,-2.0187237392457753,-1.034414762652687,-0.3756726822821063,2.026912699368172,-0.30124844862657335,-1.1464309441408984,-0.5715920043075006
2.53362952992789,-1.4316022941178863,-1.840289614261363,-1.4041117009464374,-0.563375300200826,1.8939598922846208,-0.5696895966549824,-1.1452216120710887,-0.2159236265578458
2.572711243574238,-1.4514383796529133,-0.9148867706737603,-1.8548263783770953,-0.7071400858374168,1.8408459347050774,-0.2877033634366538,-1.0899549585527386,0.07008476238406249
3.0036345688111528,-2.2985965229571157,-0.6047633591079148,-1.378503661384075,-0.42554673485597566,2.298632348835715,1.5816881136833116,-0.7916751032455155,0.00173352664358922
2.2527118613237227,-0.6575110322393358,0.5250794593461912,-2.247903221044549,-0.923498489786831,1.7156175357456418,0.04439661397986099,-0.8901205579201011,-0.08894455796038613
2.1873634876502406,-0.4912557590266014,0.9789574500570457,-2.498445253316512,-1.0403867335212853,1.5053823507600574,-0.649181206658509,-0.9852159106957379,-0.009555749075219987
2.3041583198011497,-0.646055360809805,1.540759245948576,-1.7522593227598082,-0.6879104792385291,1.5715208982719755,-0.8392743728351492,-1.0941107157688328,-0.36819750505751964
3.273687120068099,-2.4951930522397463,2.6377497137512784,-0.2925395913056572,0.06541259402000449,2.4052799266110285,2.3833548415009864,-0.582630082812607,-0.9873424422908911
2.981049124009871,-1.9407800228312566,1.7604603271239654,-0.38238637862944713,-0.09448449389394846,1.9269505710972374,-0.5474225581553792,-1.1383377777139938,1.4359030733287417
1.2591441522107767,1.3414561088413786,-1.69230202380096,-1.0726797542971578,-0.5619008710862365,1.9679951728305396,-0.5502483550345173,-1.1160264573940655,0.5938417116795636
1.1454626187857428,1.6818258946471232,-0.4337134493829392,-1.650957535997563,-0.8236587705391087,1.8236872105625546,-0.3594493071273976,-0.9731357449864239,0.9805045220172783
1.205937349485336,1.6337529679841005,0.43909055114592543,-1.4766084721630137,-0.7112551320614262,1.7260342275734184,-0.7863409709859007,-1.0878280457324982,0.5211080116914334
1.503831824029539,1.1202475055291115,1.631684889389437,-1.2389138010737155,-0.5343126103832372,1.8929093079034898,0.17149853342352206,-0.9345484252972017,-0.09627532867404524
-0.3339127939717382,4.893988204689855,-0.0534040752744608,-1.5676849354924665,-0.8400997268878556,2.0258748179653843,0.4947070717008099,-0.7963317370219833,0.17369289347138145
-0.20593815651520062,4.716216730584884,0.7617478941941296,-1.119084684213579,-0.6015443885776139,1.9604568203629387,0.07147328121377823,-0.9174946451081771,-0.652425642580766
-0.08072605873292311,4.566094237954408,1.9270361714982065,-0.9143071424324444,-0.4865864766021337,1.749487607401117,-0.8289007853984736,-1.1037140213690624,-1.0044788363197403
